name,year,coal,gas,oil,tradition,nuclear,clean
SC,2008,0.0,0.0,0.0,0.0,541.0,633.0
SC,2009,0.0,0.0,0.0,0.0,545.4,648.4
SC,2010,0.0,0.0,0.0,0.0,543.4,650.0
SC,2011,0.0,0.0,0.0,0.0,553.6,661.8
SC,2012,0.0,0.0,0.0,0.0,536.0,646.7
SC,2013,0.0,0.0,0.0,0.0,566.9,690.6
SC,2014,0.0,0.0,0.0,0.0,548.2,675.1
SC,2015,0.0,0.0,0.0,0.0,555.9,676.2
SD,2006,0.0,1.0,8.1,9.1,0.0,123.7
SD,2007,0.0,1.0,9.7,10.7,0.0,126.1
SD,2008,0.0,1.6,9.9,11.5,0.0,155.8
SD,2009,0.0,2.1,9.7,11.8,0.0,191.1
SD,2010,0.0,1.9,9.3,11.2,0.0,225.4
SD,2011,0.0,1.9,9.5,11.4,0.0,248.4
SD,2012,0.0,15.4,10.2,25.6,0.0,243.4
SD,2013,0.0,16.8,10.7,27.5,0.0,236.9
SD,2014,0.0,16.0,10.4,26.4,0.0,249.0
SD,2015,0.0,15.3,9.5,24.8,0.0,241.8
TN,2006,72.0,2.8,1.1,75.9,257.5,476.9
TN,2007,67.7,4.1,1.6,73.4,301.0,489.8
TN,2008,59.1,4.9,2.0,66.0,282.5,482.4
TN,2009,50.3,5.6,1.6,57.5,282.0,518.6
TN,2010,45.0,6.0,1.5,52.5,289.9,505.7
TN,2011,38.6,5.7,1.7,46.0,281.7,506.6
TN,2012,28.4,6.7,2.2,37.3,263.0,468.7
TN,2013,28.4,6.3,1.9,36.6,297.7,545.0
TN,2014,21.7,6.0,1.9,29.6,289.4,499.6
TN,2015,23.2,5.0,1.7,29.9,261.0,473.3
TX,2006,593.5,"6,273.0","2,276.4",9142.9,430.6,"9,725.7"
TX,2007,554.7,"6,875.0","2,269.4",9699.1,429.6,"10,320.4"
TX,2008,515.5,"7,735.9","2,354.8",10606.2,425.7,"11,330.4"
TX,2009,455.5,"7,598.6","2,316.2",10370.3,434.0,"11,099.6"
TX,2010,538.3,"7,579.6","2,474.7",10592.6,432.0,"11,411.8"
TX,2011,605.3,"8,047.4","3,067.3",11720.0,414.9,"12,570.9"
TX,2012,578.7,"8,564.0","4,188.4",13331.1,402.8,"14,183.5"
TX,2013,564.9,"8,873.1","5,365.1",14803.1,400.4,"15,675.8"
TX,2014,576.8,"9,419.3","6,717.4",16713.5,410.9,"17,650.6"
TX,2015,471.3,"9,449.6","7,223.9",17144.8,411.6,"18,129.6"
UT,2006,593.3,372.3,104.0,1069.6,0.0,"1,082.8"
UT,2007,556.4,400.2,113.3,1069.9,0.0,"1,081.0"
UT,2008,564.1,464.0,127.8,1155.9,0.0,"1,169.9"
UT,2009,502.6,475.9,133.1,1111.6,0.0,"1,127.6"
UT,2010,445.7,466.9,143.1,1055.7,0.0,"1,073.0"
UT,2011,453.9,498.0,152.7,1104.6,0.0,"1,128.7"
UT,2012,387.1,535.5,175.2,1097.8,0.0,"1,118.3"
UT,2013,385.7,517.1,203.1,1105.9,0.0,"1,122.9"
UT,2014,411.0,502.3,237.2,1150.5,0.0,"1,171.9"
UT,2015,325.2,468.6,211.5,1005.3,0.0,"1,026.7"
VT,2006,0.0,0.0,0.0,0.0,53.3,80.9
VT,2007,0.0,0.0,0.0,0.0,49.3,68.0
VT,2008,0.0,0.0,0.0,0.0,51.2,78.2
VT,2009,0.0,0.0,0.0,0.0,56.1,87.6
VT,2010,0.0,0.0,0.0,0.0,50.0,80.1
VT,2011,0.0,0.0,0.0,0.0,51.4,80.5
VT,2012,0.0,0.0,0.0,0.0,52.3,78.2
VT,2013,0.0,0.0,0.0,0.0,50.6,83.9
VT,2014,0.0,0.0,0.0,0.0,52.9,85.8
VT,2015,0.0,0.0,0.0,0.0,0.0,30.5
VA,2006,768.4,106.5,0.1,875.0,287.9,"1,281.8"
VA,2007,656.3,116.0,0.1,772.4,286.0,"1,175.2"
VA,2008,623.3,133.3,0.1,756.7,291.9,"1,166.1"
VA,2009,535.6,145.8,0.1,681.5,295.1,"1,091.4"
VA,2010,564.3,151.4,0.1,715.8,277.7,"1,096.7"
VA,2011,562.8,155.2,0.1,718.1,267.3,"1,084.8"
VA,2012,493.4,151.4,0.1,644.9,301.0,"1,044.6"
VA,2013,456.8,144.4,0.1,601.3,306.4,"1,022.0"
VA,2014,393.2,139.8,0.1,533.1,316.1,982.2
VA,2015,365.8,134.2,0.1,500.1,293.5,928.3
WA,2006,40.3,0.0,0.0,40.3,97.3,"1,065.9"
WA,2007,0.0,0.0,0.0,0.0,85.1,968.2
WA,2008,0.0,0.0,0.0,0.0,96.9,976.1
WA,2009,0.0,0.0,0.0,0.0,69.4,901.4
WA,2010,0.0,0.0,0.0,0.0,96.6,907.8
WA,2011,0.0,0.0,0.0,0.0,50.3,"1,101.0"
WA,2012,0.0,0.0,0.0,0.0,97.8,"1,108.7"
WA,2013,0.0,0.0,0.0,0.0,88.4,"1,003.0"
WA,2014,0.0,0.0,0.0,0.0,99.3,"1,027.4"
