name,year,coal,gas,oil,tradition,nuclear,clean
ID,2007,0.0,0.0,0.0,0.0,0.2,125.6
ID,2008,0.0,0.0,0.0,0.0,5.1,133.5
ID,2009,0.0,0.0,0.0,0.0,1.7,134.5
ID,2010,0.0,0.0,0.0,0.0,7.8,130.6
ID,2011,0.0,0.0,0.0,0.0,7.6,176.7
ID,2012,0.0,0.0,0.0,0.0,6.8,154.8
ID,2013,0.0,0.0,0.0,0.0,6.9,138.8
ID,2014,0.0,0.0,0.0,0.0,8.5,155.0
ID,2015,0.0,0.0,0.0,0.0,7.7,142.0
IL,2006,740.9,0.2,59.9,801.0,982.5,"1,918.1"
IL,2007,748.7,1.5,55.7,805.9,"1,004.1","1,973.7"
IL,2008,758.1,1.3,54.7,814.1,994.5,"2,003.9"
IL,2009,783.3,1.5,52.8,837.6,998.6,"2,081.7"
IL,2010,767.4,2.2,52.6,822.2,"1,005.4","2,090.2"
IL,2011,864.2,3.7,53.1,921.0,"1,002.7","2,188.3"
IL,2012,"1,094.2",2.1,56.5,1152.8,"1,010.2","2,440.4"
IL,2013,"1,149.6",2.9,55.3,1207.8,"1,014.9","2,518.7"
IL,2014,"1,293.5",2.0,55.4,1350.9,"1,023.5","2,681.2"
IL,2015,"1,252.9",2.2,54.4,1309.5,"1,017.4","2,659.7"
IN,2006,783.4,3.0,10.3,796.7,13.4,845.6
IN,2007,783.0,3.7,10.0,796.7,37.0,868.3
IN,2008,803.0,4.8,10.8,818.6,80.4,942.4
IN,2009,800.2,5.0,10.5,815.7,96.5,966.3
IN,2010,790.9,6.9,10.6,808.4,111.1,987.5
IN,2011,841.0,9.2,11.5,861.7,129.5,"1,062.2"
IN,2012,826.8,8.9,13.6,849.3,126.9,"1,044.6"
IN,2013,883.3,8.1,13.9,905.3,126.1,"1,106.3"
IN,2014,886.4,6.7,14.5,907.6,139.1,"1,122.4"
IN,2015,776.5,7.4,12.7,796.6,153.9,"1,033.1"
IA,2006,0.0,0.0,0.0,0.0,209.8,316.6
IA,2007,0.0,0.0,0.0,0.0,271.8,380.3
IA,2008,0.0,0.0,0.0,0.0,325.7,454.1
IA,2009,0.0,0.0,0.0,0.0,427.1,585.8
IA,2010,0.0,0.0,0.0,0.0,499.8,673.1
IA,2011,0.0,0.0,0.0,0.0,501.3,689.1
IA,2012,0.0,0.0,0.0,0.0,473.2,678.2
IA,2013,0.0,0.0,0.0,0.0,498.3,730.4
IA,2014,0.0,0.0,0.0,0.0,523.6,753.8
IA,2015,0.0,0.0,0.0,0.0,517.6,769.6
KS,2006,9.6,426.4,206.9,642.9,97.6,780.2
KS,2007,9.3,416.2,212.2,637.7,108.8,796.1
KS,2008,5.1,429.2,230.0,664.3,88.8,838.3
KS,2009,4.3,401.5,228.9,634.7,91.7,817.5
KS,2010,3.1,372.6,234.7,610.4,99.9,812.8
KS,2011,0.8,356.8,240.7,598.3,76.6,781.7
KS,2012,0.4,336.4,253.7,590.5,86.8,793.2
KS,2013,0.5,322.4,271.7,594.6,74.9,830.1
KS,2014,1.5,318.6,287.1,607.2,89.5,881.5
KS,2015,4.4,321.0,260.0,585.4,90.3,855.9
KY,2006,"3,000.9",101.3,13.6,3115.8,0.0,"3,177.5"
KY,2007,"2,872.9",100.8,15.5,2989.2,0.0,"3,044.7"
KY,2008,"2,927.9",121.5,15.3,3064.7,0.0,"3,122.6"
KY,2009,"2,616.1",122.0,15.1,2753.2,0.0,"2,823.1"
KY,2010,"2,556.1",146.1,14.6,2716.8,0.0,"2,781.4"
KY,2011,"2,623.8",134.5,13.5,2771.8,0.0,"2,840.8"
KY,2012,"2,193.3",119.1,18.5,2330.9,0.0,"2,391.1"
KY,2013,"1,940.1",107.1,16.8,2064.0,0.0,"2,138.2"
KY,2014,"1,869.3",105.6,19.6,1994.5,0.0,"2,070.1"
